Suburb,Postcode,Local government area
Beaumaris,3193,City of Bayside
Black Rock,3193,City of Bayside
Brighton,3186,City of Bayside
Brighton East,3187,City of Bayside
Cheltenham,3192,City of Bayside; City of Kingston
Gardenvale,3185,City of Bayside
Hampton,3188,City of Bayside
Hampton East,3188,City of Bayside
Highett,3190,City of Bayside; City of Kingston
Moorabbin,3189,City of Bayside; City of Kingston
Sandringham,3191,City of Bayside
Ashburton,3147,City of Boroondara
Balwyn,3103,City of Boroondara
Balwyn North,3104,City of Boroondara
Camberwell,3124,City of Boroondara
Canterbury,3126,City of Boroondara
Deepdene,3103,City of Boroondara
Glen Iris,3146,City of Boroondara; City of Stonnington
Hawthorn,3122,City of Boroondara
Hawthorn East,3123,City of Boroondara
Kew,3101,City of Boroondara
Kew East,3102,City of Boroondara
Mont Albert,3127,City of Boroondara; City of Whitehorse
Mont Albert North,3127,City of Boroondara
Surrey Hills,3127,City of Boroondara; City of Whitehorse
Bentleigh,3204,City of Glen Eira
Bentleigh East,3165,City of Glen Eira
Caulfield,3162,City of Glen Eira
Caulfield East,3145,City of Glen Eira
Caulfield North,3161,City of Glen Eira
Caulfield South,3162,City of Glen Eira
Carnegie,3163,City of Glen Eira
Elsternwick,3185,City of Glen Eira
Gardenvale,3185,City of Glen Eira
Glen Huntly,3163,City of Glen Eira
McKinnon,3204,City of Glen Eira
Murrumbeena,3163,City of Glen Eira
Ormond,3204,City of Glen Eira
St Kilda East,3183,City of Glen Eira; City of Port Phillip
Carlton,3053,City of Melbourne
Carlton North,3054,City of Melbourne; City of Yarra
Docklands,3008,City of Melbourne
East Melbourne,3002,City of Melbourne
Flemington,3031,City of Melbourne; City of Moonee Valley
Kensington,3031,City of Melbourne
Melbourne CBD,3000,City of Melbourne
Melbourne CBD (St Kilda Road area),3004,"City of Melbourne (east side to High Street, Prahran); City of Port Phillip (west side and road south of High Street, Prahran)"
North Melbourne,3051,City of Melbourne; City of Moonee Valley
Parkville,3052,City of Melbourne
Port Melbourne,3207,City of Melbourne; City of Port Phillip
Southbank,3006,City of Melbourne; City of Port Phillip
South Wharf,3006,City of Melbourne; City of Port Phillip
South Yarra,3141,City of Melbourne; City of Stonnington
West Melbourne,3003,City of Melbourne
Albert Park,3206,City of Port Phillip
Balaclava,3183,City of Port Phillip
Elwood,3184,City of Port Phillip
Middle Park,3206,City of Port Phillip
Ripponlea,3185,City of Port Phillip
St Kilda,3182,City of Port Phillip
St Kilda West,3182,City of Port Phillip
South Melbourne,3205,City of Port Phillip
Armadale,3143,City of Stonnington
Kooyong,3144,City of Stonnington
Malvern,3144,City of Stonnington
Malvern East,3145,City of Stonnington
Prahran,3181,City of Stonnington
Toorak,3142,City of Stonnington
Windsor,3181,City of Stonnington
Abbotsford,3067,City of Yarra
Burnley,3121,City of Yarra
Clifton Hill,3068,City of Yarra
Collingwood,3066,City of Yarra
Cremorne,3121,City of Yarra
Fitzroy,3065,City of Yarra
Fitzroy North,3068,City of Yarra
Princes Hill,3054,City of Yarra
Richmond,3121,City of Yarra
