,Venue_Type
1,Middle Eastern Restaurant
2,Mediterranean Restaurant
3,Indian Restaurant
4,Japanese Restaurant
5,Portuguese Restaurant
6,Fast Food Restaurant
7,Lebanese Restaurant
8,Mexican Restaurant
9,Falafel Restaurant
10,Vietnamese Restaurant
11,Thai Restaurant
12,Turkish Restaurant
13,Afghan Restaurant
14,Eastern European Restaurant
15,Dumpling Restaurant
16,Sushi Restaurant
17,Kebab Restaurant
18,Italian Restaurant
19,Indonesian Restaurant
20,Korean Restaurant
21,Ramen Restaurant
22,Dim Sum Restaurant
23,Chinese Restaurant
24,Malay Restaurant
25,Brazilian Restaurant
26,Vegetarian / Vegan Restaurant
27,Scandinavian Restaurant
28,Greek Restaurant
29,Asian Restaurant
30,Australian Restaurant
31,Molecular Gastronomy Restaurant
32,Seafood Restaurant
33,French Restaurant
34,Argentinian Restaurant
35,Tapas Restaurant
36,Modern European Restaurant
37,Yunnan Restaurant
38,Persian Restaurant
39,Egyptian Restaurant
40,Theme Restaurant
41,Gluten-free Restaurant
42,Cantonese Restaurant
43,South American Restaurant
44,Shanghai Restaurant
