,Suburb,Postcode,Local government area,Latitude,Longitude,1st Most Common Venue
0,Bellfield,3081,City of Banyule,-37.7531065,145.0384784,Middle Eastern Restaurant
1,Briar Hill,3088,City of Banyule,-37.706370299999996,145.1216479,Portuguese Restaurant
2,Bundoora,3083,City of Banyule; City of Darebin; City of Whittlesea,-37.69730565,145.066254356098,Fast Food Restaurant
3,Eaglemont,3084,City of Banyule,-37.7651442,145.06333130000002,Indian Restaurant
4,Eltham,3095,City of Banyule; Shire of Nillumbik,-37.71338695,145.147879912001,Polish Restaurant
5,Eltham North,3095,City of Banyule; Shire of Nillumbik,-37.697892100000004,145.14178069999997,Fast Food Restaurant
6,Greensborough,3088,City of Banyule; Shire of Nillumbik,-37.6988474,145.1074004,Fast Food Restaurant
7,Heidelberg,3084,City of Banyule,-37.75247879999999,145.0701284,Middle Eastern Restaurant
8,Heidelberg Heights,3081,City of Banyule,-37.7451831,145.0529194,Middle Eastern Restaurant
9,Heidelberg West,3081,City of Banyule,-37.738243100000005,145.04339219999997,Portuguese Restaurant
10,Ivanhoe,3079,City of Banyule,-37.7690312,145.0430809,Thai Restaurant
11,Ivanhoe East,3079,City of Banyule,-37.7733903,145.0617815,Fast Food Restaurant
12,Lower Plenty,3093,City of Banyule,-37.738843700000004,145.116224,Middle Eastern Restaurant
13,Macleod,3085,City of Banyule; City of Darebin,-37.7204404,145.069828,Polish Restaurant
14,Montmorency,3094,City of Banyule,-37.7189715,145.12562309999998,Polish Restaurant
15,Rosanna,3084,City of Banyule,-37.739634499999994,145.0696349,Middle Eastern Restaurant
16,St Helena,3088,City of Banyule,-37.689513500000004,145.1295774,Fast Food Restaurant
17,Viewbank,3084,City of Banyule,-37.73991029999999,145.0932329,Middle Eastern Restaurant
18,Watsonia,3087,City of Banyule,-37.7097848,145.0832709,Portuguese Restaurant
19,Watsonia North,3087,City of Banyule,-37.696046,145.084977,Polish Restaurant
20,Yallambie,3085,City of Banyule,-37.7251655,145.09352180000002,Polish Restaurant
21,Beaumaris,3193,City of Bayside,-37.982212200000006,145.03890980000003,
22,Black Rock,3193,City of Bayside,-37.9705189,145.0229519,
23,Brighton,3186,City of Bayside,-37.90560815,145.00275061303302,
24,Brighton East,3187,City of Bayside,-37.917172799999996,145.01636630000002,
25,Cheltenham,3192,City of Bayside; City of Kingston,-37.963418100000005,145.0615668,
26,Gardenvale,3185,City of Bayside,-37.8981194,145.00918240000001,
27,Hampton,3188,City of Bayside,-37.9374028,145.00912380000003,
28,Hampton East,3188,City of Bayside,-37.9385409,145.0306726,
29,Highett,3190,City of Bayside; City of Kingston,-37.9504036,145.039797,
30,Moorabbin,3189,City of Bayside; City of Kingston,-37.9414646,145.05783830000001,
31,Sandringham,3191,City of Bayside,-37.9533347,145.01393080000003,
32,Ashburton,3147,City of Boroondara,-37.862079,145.08128469999997,Polish Restaurant
33,Balwyn,3103,City of Boroondara,-37.8091737,145.08336780000002,Korean Restaurant
34,Balwyn North,3104,City of Boroondara,-37.7919518,145.0842372,Polish Restaurant
35,Camberwell,3124,City of Boroondara,-37.838462299999996,145.0740767,Thai Restaurant
