,Suburb,Postcode,Local government area,Location[citation needed],Distance[3][citation needed],Area[citation needed],Population[citation needed],Population density[citation needed],Date established[citation needed],Address,Latitude,Longitude
0,Bellfield,3081,City of Banyule,,,0.9 km2,"1,793[4]",,,"Bellfield, VIC 3081, Australia",-37.7531065,145.0384784
1,Briar Hill,3088,City of Banyule,,,,"3,152[4]",,,"Briar Hill, VIC 3088, Australia",-37.7063703,145.1216479
2,Bundoora,3083,City of Banyule; City of Darebin; City of Whittlesea,,,15 km2,28653,,,"Bundoora, VIC 3083, Australia",-37.69730565,145.066254356098
3,Eaglemont,3084,City of Banyule,,,1.9 km2,3873,,,"Eaglemont, VIC 3084, Australia",-37.7651442,145.0633313
4,Eltham,3095,City of Banyule; Shire of Nillumbik,,,,,,,"Eltham, VIC 3095, Australia",-37.71338695,145.147879912001
5,Eltham North,3095,City of Banyule; Shire of Nillumbik,,,,,,,"Eltham North, VIC 3095, Australia",-37.6978921,145.1417807
6,Greensborough,3088,City of Banyule; Shire of Nillumbik,,,,,,,"Greensborough, VIC 3088, Australia",-37.6988474,145.1074004
7,Heidelberg,3084,City of Banyule,,,,,,,"Heidelberg, VIC 3084, Australia",-37.7524788,145.0701284
8,Heidelberg Heights,3081,City of Banyule,,,,,,,"Heidelberg Heights, VIC 3081, Australia",-37.7451831,145.0529194
9,Heidelberg West,3081,City of Banyule,,,,,,,"Heidelberg West, VIC 3081, Australia",-37.7382431,145.0433922
10,Ivanhoe,3079,City of Banyule,,,,,,,"Ivanhoe, VIC 3079, Australia",-37.7690312,145.0430809
11,Ivanhoe East,3079,City of Banyule,,,,,,,"Ivanhoe East, VIC 3079, Australia",-37.7733903,145.0617815
12,Lower Plenty,3093,City of Banyule,,,,,,,"Lower Plenty, VIC 3093, Australia",-37.7388437,145.116224
13,Macleod,3085,City of Banyule; City of Darebin,,,,,,,"Macleod, VIC 3085, Australia",-37.7204404,145.069828
14,Montmorency,3094,City of Banyule,,,,,,,"Montmorency, VIC 3094, Australia",-37.7189715,145.1256231
15,Rosanna,3084,City of Banyule,,,,,,,"Rosanna, VIC 3084, Australia",-37.7396345,145.0696349
16,St Helena,3088,City of Banyule,,,,,,,"St Helena, VIC 3088, Australia",-37.6895135,145.1295774
17,Viewbank,3084,City of Banyule,,,,,,,"Viewbank, VIC 3084, Australia",-37.7399103,145.0932329
18,Watsonia,3087,City of Banyule,,,,,,,"Watsonia, VIC 3087, Australia",-37.7097848,145.0832709
19,Watsonia North,3087,City of Banyule,,,,,,,"Watsonia North, VIC 3087, Australia",-37.696046,145.084977
20,Yallambie,3085,City of Banyule,,,,,,,"Yallambie, VIC 3085, Australia",-37.7251655,145.0935218
21,Beaumaris,3193,City of Bayside,,,,,,,"Beaumaris, VIC 3193, Australia",-37.9822122,145.0389098
22,Black Rock,3193,City of Bayside,,,,,,,"Black Rock, VIC 3193, Australia",-37.9705189,145.0229519
23,Brighton,3186,City of Bayside,,,,,,,"Brighton, VIC 3186, Australia",-37.90560815,145.002750613033
24,Brighton East,3187,City of Bayside,,,,,,,"Brighton East, VIC 3187, Australia",-37.9171728,145.0163663
25,Cheltenham,3192,City of Bayside; City of Kingston,,,,,,,"Cheltenham, VIC 3192, Australia",-37.9634181,145.0615668
26,Gardenvale,3185,City of Bayside,,,,,,,"Gardenvale, VIC 3185, Australia",-37.8981194,145.0091824
27,Hampton,3188,City of Bayside,,,,,,,"Hampton, VIC 3188, Australia",-37.9374028,145.0091238
28,Hampton East,3188,City of Bayside,,,,,,,"Hampton East, VIC 3188, Australia",-37.9385409,145.0306726
29,Highett,3190,City of Bayside; City of Kingston,,,,,,,"Highett, VIC 3190, Australia",-37.9504036,145.039797
30,Moorabbin,3189,City of Bayside; City of Kingston,,,,,,,"Moorabbin, VIC 3189, Australia",-37.9414646,145.0578383
31,Sandringham,3191,City of Bayside,,,,,,,"Sandringham, VIC 3191, Australia",-37.9533347,145.0139308
32,Ashburton,3147,City of Boroondara,,,,,,,"Ashburton, VIC 3147, Australia",-37.862079,145.0812847
33,Balwyn,3103,City of Boroondara,,,,,,,"Balwyn, VIC 3103, Australia",-37.8091737,145.0833678
34,Balwyn North,3104,City of Boroondara,,,,,,,"Balwyn North, VIC 3104, Australia",-37.7919518,145.0842372
35,Camberwell,3124,City of Boroondara,,,,,,,"Camberwell, VIC 3124, Australia",-37.8384623,145.0740767
36,Canterbury,3126,City of Boroondara,,,,,,,"Canterbury, VIC 3126, Australia",-37.8243448,145.0757933
37,Deepdene,3103,City of Boroondara,,,,,,,"Deepdene, VIC 3103, Australia",-37.8121234,145.0664377
38,Glen Iris,3146,City of Boroondara; City of Stonnington,,,,,,,"Glen Iris, VIC 3146, Australia",-37.855814,145.0646117
39,Hawthorn,3122,City of Boroondara,,,,,,,"Hawthorn, VIC 3122, Australia",-37.8244246,145.0317207
40,Hawthorn East,3123,City of Boroondara,,,,,,,"Hawthorn East, VIC 3123, Australia",-37.8313785,145.0499797
41,Kew,3101,City of Boroondara,,,,,,,"Kew, VIC 3101, Australia",-37.8033586,145.0333285
42,Kew East,3102,City of Boroondara,,,,,,,"Kew East, VIC 3102, Australia",-37.7904215,145.0527906
43,Mont Albert,3127,City of Boroondara; City of Whitehorse,,,,,,,"Mont Albert, VIC 3127, Australia",-37.8175479,145.1075721
44,Mont Albert North,3127,City of Boroondara,,,,,,,"Mont Albert North, VIC 3127, Australia",-37.8033152,145.1107226
45,Surrey Hills,3127,City of Boroondara; City of Whitehorse,,,,,,,"Surrey Hills, VIC 3127, Australia",-37.8271881,145.0978326
46,Albanvale,3021,City of Brimbank,,,,,,,"Albanvale, VIC 3021, Australia",-37.7460824,144.7685623
47,Albion,3020,City of Brimbank,,,,,,,"Albion, VIC 3020, Australia",-37.7763803,144.8160713
48,Ardeer,3022,City of Brimbank,,,,,,,"Ardeer, VIC 3022, Australia",-37.7758681,144.8014637
49,Brooklyn,3012,City of Brimbank; City of Hobsons Bay,,,,,,,"Brooklyn, VIC 3012, Australia",-37.8160898,144.8414748
50,Cairnlea,3023,City of Brimbank,,,,,,,"Cairnlea, VIC 3023, Australia",-37.7593157,144.7878098
51,Calder Park,3037,City of Brimbank,,,,,,,"Calder Park, VIC 3037, Australia",-37.6762639,144.7611396
52,Deer Park,3023,City of Brimbank,,,,,,,"Deer Park, VIC 3023, Australia",-37.7686602,144.7713077
53,Delahey,3037,City of Brimbank,,,,,,,"Delahey, VIC 3037, Australia",-37.7198138,144.7773228
54,Derrimut,3030,City of Brimbank,,,,,,,"Derrimut, VIC 3030, Australia",-37.7987978,144.776051
55,Hillside,3037,City of Brimbank; City of Melton,,,,,,,"Hillside, VIC 3037, Australia",-37.6904862,144.7417358
56,Kealba,3021,City of Brimbank,,,,,,,"Kealba, VIC 3021, Australia",-37.7371074,144.8282988
57,Keilor,3036,City of Brimbank; City of Hume,,,,,,,"Keilor, VIC 3036, Australia",-37.7113545,144.8250696
58,Keilor Downs,3038,City of Brimbank,,,,,,,"Keilor Downs, VIC 3038, Australia",-37.7205762,144.8047614
59,Keilor East,3033,City of Brimbank; City of Moonee Valley,,,,,,,"Keilor East, VIC 3033, Australia",-37.7383776,144.8561207
60,Keilor Lodge,3038,City of Brimbank,,,,,,,"Keilor Lodge, VIC 3038, Australia",-37.6984134,144.7998157
61,Keilor North,3036,City of Brimbank,,,,,,,"Keilor North, VIC 3036, Australia",-37.6816313,144.7930224
62,Keilor Park,3042,City of Brimbank,,,,,,,"Keilor Park, VIC 3042, Australia",-37.7187247,144.8501721
63,Kings Park,3021,City of Brimbank,,,,,,,"Kings Park, VIC 3021, Australia",-37.7337122,144.7719526
64,St Albans,3021,City of Brimbank,,,,,,,"St Albans, VIC 3021, Australia",-37.7450983,144.804976
65,Sunshine,3020,City of Brimbank,,,,,,,"Sunshine, VIC 3020, Australia",-37.7880952,144.832602336914
66,Sunshine North,3020,City of Brimbank,,,,,,,"Sunshine North, VIC 3020, Australia",-37.7639467,144.8361969
67,Sunshine West,3020,City of Brimbank,,,,,,,"Sunshine West, VIC 3020, Australia",-37.7983442,144.8110919
68,Sydenham,3037,City of Brimbank,,,,,,,"Sydenham, VIC 3037, Australia",-37.6997223,144.7653295
69,Taylors Lakes,3038,City of Brimbank,,,,,,,"Taylors Lakes, VIC 3038, Australia",-37.698633,144.7863077
70,Tullamarine,3043,City of Brimbank; City of Hume; City of Moreland,,,,,,,"Tullamarine, VIC 3043, Australia",-37.704658,144.8717732
71,Beaconsfield,3807,Shire of Cardinia,,,,,,,"Beaconsfield, VIC 3807, Australia",-38.0403488,145.3831468
72,Emerald,3782,Shire of Cardinia; Shire of Yarra Ranges,,,,,,,"Emerald, VIC 3782, Australia",-37.93107,145.448889025165
73,Officer,3809,Shire of Cardinia,,,,,,,"Officer, VIC 3809, Australia",-38.049175,145.41180221332
74,Pakenham,3810,Shire of Cardinia,,,,,,,"Pakenham, VIC 3810, Australia",-38.06823555,145.478781133362
75,Avonsleigh,3782,Shire of Cardinia,,,,,,,"Avonsleigh, VIC 3782, Australia",-37.91404,145.482076000566
76,Bayles,3981,Shire of Cardinia,,,,,,,"Bayles, VIC 3981, Australia",-38.1769736,145.573224
77,Beaconsfield Upper,3808,Shire of Cardinia,,,,,,,"Beaconsfield Upper, VIC 3808, Australia",-37.998735,145.425214664948
78,Bunyip,3815,Shire of Cardinia,,,,,,,"Bunyip, VIC 3815, Australia",-38.0971242,145.7208993
79,Bunyip North,3815,Shire of Cardinia,,,,,,,"Bunyip North, VIC 3815, Australia",-38.0971242,145.7208993
80,Caldermeade,3984,Shire of Cardinia,,,,,,,"Caldermeade, VIC 3984, Australia",-38.239565,145.540776833333
81,Cardinia,3978,Shire of Cardinia,,,,,,,"Cardinia, VIC 3978, Australia",-38.13432,145.421166606992
82,Catani,3981,Shire of Cardinia,,,,,,,"Catani, VIC 3981, Australia",-38.1948042,145.6413285
83,Clematis,3782,Shire of Cardinia,,,,,,,"Clematis, VIC 3782, Australia",-37.9340691,145.417641
84,Cockatoo,3781,Shire of Cardinia,,,,,,,"Cockatoo, VIC 3781, Australia",-37.9344942,145.4914766
85,Cora Lynn,3814,Shire of Cardinia,,,,,,,"Cora Lynn, VIC 3814, Australia",-38.1436888,145.6042711
86,Dalmore,3981,Shire of Cardinia,,,,,,,"Dalmore, VIC 3981, Australia",-38.1950098,145.4191387
87,Dewhurst,3809,Shire of Cardinia,,,,,,,"Dewhurst, VIC 3809, Australia",-37.97633,145.474031476148
88,Garfield,3814,Shire of Cardinia,,,,,,,"Garfield, VIC 3814, Australia",-38.0898677,145.676222
89,Garfield North,3814,Shire of Cardinia,,,,,,,"Garfield North, VIC 3814, Australia",-38.03934,145.685876546336
90,Gembrook,3783,Shire of Cardinia,,,,,,,"Gembrook, VIC 3783, Australia",-37.9685261,145.495700419905
91,Guys Hill,3807,Shire of Cardinia,,,,,,,"Guys Hill, VIC 3807, Australia",-38.0142333,145.3906004
92,Heath Hill,3981,Shire of Cardinia; Shire of Baw Baw,,,,,,,"Heath Hill, VIC 3981, Australia",-38.24878,145.691397522341
93,Iona,3815,Shire of Cardinia,,,,,,,"Iona, VIC 3815, Australia",-38.161365,145.686712776183
94,Koo Wee Rup,3981,Shire of Cardinia,,,,,,,"Koo Wee Rup, VIC 3981, Australia",-38.2003356,145.4892906
95,Koo Wee Rup North,3891,Shire of Cardinia,,,,,,,"Koo Wee Rup North, VIC 3891, Australia",-38.1990553,145.492854
96,Lang Lang,3984,Shire of Cardinia,,,,,,,"Lang Lang, VIC 3984, Australia",-38.2660405,145.5627778
97,Lang Lang East,3894,Shire of Cardinia,,,,,,,"Lang Lang East, VIC 3894, Australia",-38.2660405,145.5627778
